#Temperature (K)	Pressure (MPa)	Quality (l+v)	Internal Energy (l+v, kJ/mol)	Enthalpy (l+v, kJ/mol)	Entropy (l+v, J/mol*K)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
278.00	0.51279	0.010363	6.4536	6.4894	27.435	631.98	0.0015823	6.2560	6.2698	26.645	48.022	78.966	1481.9	-0.13138	156.34	0.51290	4.0922	0.24437	25.327	27.461	102.87	33.552	47.210	401.91	34.693	9.2189	0.024318
280.00	0.55070	0.011067	6.6230	6.6614	28.043	629.20	0.0015893	6.4134	6.4283	27.210	47.944	79.168	1467.8	-0.12744	153.03	0.50883	4.3800	0.22831	25.354	27.495	102.45	33.836	47.768	402.34	33.645	9.2809	0.024625
282.00	0.59076	0.011807	6.7932	6.8345	28.648	626.40	0.0015964	6.5712	6.5872	27.772	47.869	79.378	1453.7	-0.12336	149.84	0.50472	4.6837	0.21351	25.379	27.527	102.03	34.123	48.341	402.74	32.643	9.3431	0.024940
284.00	0.63303	0.012584	6.9643	7.0085	29.253	623.58	0.0016036	6.7293	6.7466	28.331	47.796	79.595	1439.5	-0.11912	146.74	0.50055	5.0038	0.19985	25.404	27.558	101.61	34.413	48.930	403.09	31.685	9.4055	0.025261
286.00	0.67761	0.013401	7.1363	7.1836	29.856	620.74	0.0016110	6.8879	6.9064	28.887	47.725	79.821	1425.2	-0.11474	143.74	0.49635	5.3411	0.18723	25.428	27.588	101.20	34.705	49.536	403.41	30.767	9.4682	0.025589
288.00	0.72456	0.014258	7.3092	7.3597	30.459	617.87	0.0016185	7.0468	7.0667	29.441	47.657	80.056	1410.9	-0.11018	140.83	0.49210	5.6962	0.17555	25.451	27.617	100.80	35.001	50.160	403.69	29.888	9.5311	0.025925
290.00	0.77399	0.015156	7.4829	7.5370	31.060	614.99	0.0016261	7.2061	7.2275	29.993	47.591	80.301	1396.5	-0.10545	138.01	0.48782	6.0699	0.16475	25.473	27.644	100.40	35.299	50.801	403.92	29.046	9.5942	0.026269
292.00	0.82596	0.016098	7.6577	7.7153	31.660	612.07	0.0016338	7.3658	7.3888	30.542	47.527	80.555	1382.0	-0.10054	135.26	0.48350	6.4629	0.15473	25.494	27.671	100.00	35.601	51.461	404.12	28.239	9.6577	0.026621
294.00	0.88058	0.017085	7.8333	7.8948	32.260	609.14	0.0016417	7.5260	7.5506	31.089	47.467	80.821	1367.4	-0.095438	132.60	0.47914	6.8760	0.14543	25.514	27.695	99.609	35.905	52.142	404.27	27.464	9.7215	0.026981
296.00	0.93792	0.018118	8.0100	8.0754	32.859	606.17	0.0016497	7.6866	7.7130	31.634	47.408	81.097	1352.7	-0.090133	130.00	0.47475	7.3101	0.13680	25.534	27.719	99.222	36.212	52.843	404.39	26.721	9.7856	0.027350
298.00	0.99807	0.019200	8.1876	8.2573	33.457	603.19	0.0016579	7.8477	7.8759	32.177	47.352	81.385	1338.0	-0.084616	127.47	0.47033	7.7658	0.12877	25.552	27.741	98.838	36.522	53.566	404.46	26.008	9.8501	0.027729
300.00	1.0611	0.020331	8.3663	8.4403	34.054	600.17	0.0016662	8.0092	8.0394	32.718	47.299	81.685	1323.2	-0.078876	125.00	0.46589	8.2443	0.12130	25.570	27.762	98.459	36.834	54.313	404.49	25.322	9.9150	0.028116
302.00	1.1272	0.021513	8.5459	8.6246	34.651	597.13	0.0016747	8.1713	8.2034	33.257	47.248	81.998	1308.3	-0.072900	122.60	0.46141	8.7463	0.11433	25.586	27.781	98.082	37.150	55.084	404.47	24.664	9.9804	0.028513
304.00	1.1963	0.022749	8.7267	8.8102	35.248	594.06	0.0016833	8.3339	8.3682	33.794	47.200	82.325	1293.4	-0.066676	120.25	0.45692	9.2728	0.10784	25.601	27.798	97.709	37.470	55.881	404.41	24.030	10.046	0.028921
