#Temperature (K)	Pressure (MPa)	Quality (l+v)	Internal Energy (l+v, kJ/mol)	Enthalpy (l+v, kJ/mol)	Entropy (l+v, J/mol*K)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
785.58	128.31	undefined	15.842	24.378	76.689	30.300	0.033003	15.842	24.378	76.689	21.986	29.872	2721.7	-0.55506	19.264	0.43241	30.300	0.033003	15.842	24.378	76.689	21.986	29.872	2721.7	-0.55506	19.264	0.43241
787.22	128.57	undefined	15.878	24.432	76.735	30.300	0.033003	15.878	24.432	76.735	21.989	29.874	2724.2	-0.55501	19.293	0.43307	30.300	0.033003	15.878	24.432	76.735	21.989	29.874	2724.2	-0.55501	19.293	0.43307
788.87	128.83	undefined	15.914	24.485	76.781	30.300	0.033003	15.914	24.485	76.781	21.992	29.876	2726.7	-0.55496	19.322	0.43373	30.300	0.033003	15.914	24.485	76.781	21.992	29.876	2726.7	-0.55496	19.322	0.43373
790.51	129.09	undefined	15.950	24.538	76.827	30.300	0.033003	15.950	24.538	76.827	21.996	29.878	2729.2	-0.55491	19.351	0.43439	30.300	0.033003	15.950	24.538	76.827	21.996	29.878	2729.2	-0.55491	19.351	0.43439
792.15	129.34	undefined	15.986	24.592	76.872	30.300	0.033003	15.986	24.592	76.872	21.999	29.880	2731.7	-0.55486	19.380	0.43505	30.300	0.033003	15.986	24.592	76.872	21.999	29.880	2731.7	-0.55486	19.380	0.43505
793.79	129.60	undefined	16.022	24.645	76.918	30.300	0.033003	16.022	24.645	76.918	22.002	29.883	2734.2	-0.55481	19.409	0.43571	30.300	0.033003	16.022	24.645	76.918	22.002	29.883	2734.2	-0.55481	19.409	0.43571
795.43	129.86	undefined	16.059	24.698	76.963	30.300	0.033003	16.059	24.698	76.963	22.006	29.885	2736.7	-0.55475	19.438	0.43637	30.300	0.033003	16.059	24.698	76.963	22.006	29.885	2736.7	-0.55475	19.438	0.43637
797.07	130.12	undefined	16.095	24.752	77.009	30.300	0.033003	16.095	24.752	77.009	22.009	29.887	2739.2	-0.55470	19.467	0.43704	30.300	0.033003	16.095	24.752	77.009	22.009	29.887	2739.2	-0.55470	19.467	0.43704
798.72	130.38	undefined	16.131	24.805	77.054	30.300	0.033003	16.131	24.805	77.054	22.013	29.889	2741.7	-0.55465	19.496	0.43770	30.300	0.033003	16.131	24.805	77.054	22.013	29.889	2741.7	-0.55465	19.496	0.43770
800.36	130.64	undefined	16.167	24.858	77.099	30.300	0.033003	16.167	24.858	77.099	22.016	29.892	2744.2	-0.55459	19.525	0.43836	30.300	0.033003	16.167	24.858	77.099	22.016	29.892	2744.2	-0.55459	19.525	0.43836
802.00	130.90	undefined	16.203	24.912	77.144	30.300	0.033003	16.203	24.912	77.144	22.020	29.894	2746.7	-0.55453	19.554	0.43902	30.300	0.033003	16.203	24.912	77.144	22.020	29.894	2746.7	-0.55453	19.554	0.43902
803.64	131.16	undefined	16.239	24.965	77.189	30.300	0.033003	16.239	24.965	77.189	22.023	29.896	2749.2	-0.55448	19.583	0.43968	30.300	0.033003	16.239	24.965	77.189	22.023	29.896	2749.2	-0.55448	19.583	0.43968
805.28	131.42	undefined	16.275	25.019	77.234	30.300	0.033003	16.275	25.019	77.234	22.026	29.899	2751.7	-0.55442	19.612	0.44034	30.300	0.033003	16.275	25.019	77.234	22.026	29.899	2751.7	-0.55442	19.612	0.44034
806.92	131.67	undefined	16.312	25.072	77.279	30.300	0.033003	16.312	25.072	77.279	22.030	29.901	2754.2	-0.55436	19.642	0.44101	30.300	0.033003	16.312	25.072	77.279	22.030	29.901	2754.2	-0.55436	19.642	0.44101
