#Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
70.000	0.038545	838.51	0.0011926	-3.8383	-3.8370	73.735	31.646	56.433	925.74	-0.37947	220.22	0.15952	0.010576	1.8960	0.52743	1.4222	1.9917	157.00	21.236	30.299	168.42	32.837	4.8835	0.0063547
70.500	0.041451	836.37	0.0011956	-3.8101	-3.8087	74.136	31.554	56.472	920.70	-0.37731	215.18	0.15852	0.010459	2.0269	0.49336	1.4311	2.0040	156.59	21.256	30.362	168.91	32.373	4.9210	0.0064095
71.000	0.044527	834.21	0.0011987	-3.7819	-3.7804	74.535	31.463	56.512	915.66	-0.37508	210.32	0.15752	0.010342	2.1647	0.46196	1.4400	2.0162	156.18	21.278	30.427	169.39	31.922	4.9585	0.0064645
71.500	0.047779	832.05	0.0012019	-3.7537	-3.7521	74.931	31.373	56.554	910.62	-0.37280	205.61	0.15652	0.010225	2.3095	0.43300	1.4487	2.0283	155.78	21.300	30.495	169.86	31.482	4.9961	0.0065198
72.000	0.051213	829.88	0.0012050	-3.7255	-3.7237	75.325	31.283	56.597	905.58	-0.37046	201.07	0.15552	0.010109	2.4616	0.40625	1.4574	2.0403	155.38	21.323	30.565	170.32	31.054	5.0339	0.0065752
72.500	0.054837	827.70	0.0012082	-3.6972	-3.6953	75.716	31.194	56.643	900.53	-0.36806	196.68	0.15452	0.0099926	2.6212	0.38151	1.4661	2.0521	154.99	21.346	30.637	170.78	30.637	5.0717	0.0066310
73.000	0.058656	825.51	0.0012114	-3.6689	-3.6669	76.105	31.106	56.690	895.49	-0.36560	192.43	0.15352	0.0098768	2.7885	0.35862	1.4747	2.0639	154.61	21.370	30.712	171.23	30.231	5.1096	0.0066870
73.500	0.062680	823.31	0.0012146	-3.6406	-3.6385	76.491	31.019	56.739	890.44	-0.36306	188.31	0.15253	0.0097613	2.9639	0.33740	1.4832	2.0756	154.23	21.394	30.790	171.67	29.836	5.1476	0.0067432
74.000	0.066914	821.11	0.0012179	-3.6123	-3.6100	76.875	30.932	56.790	885.39	-0.36047	184.33	0.15153	0.0096460	3.1475	0.31772	1.4916	2.0871	153.86	21.420	30.870	172.10	29.450	5.1856	0.0067998
74.500	0.071366	818.89	0.0012212	-3.5840	-3.5815	77.257	30.846	56.844	880.34	-0.35780	180.48	0.15053	0.0095310	3.3396	0.29944	1.4999	2.0986	153.50	21.445	30.953	172.53	29.074	5.2238	0.0068566
