#Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
177.00	2.9724	287.93	0.0034730	4.1367	4.3023	28.971	31.116	101.77	548.75	1.0455	33.162	0.090026	0.0015048	53.197	0.018798	7.7754	8.6718	53.657	33.229	98.550	269.79	13.523	7.7180	0.030145
177.50	3.0229	286.09	0.0034954	4.1786	4.3481	29.213	31.176	103.83	540.39	1.0952	32.787	0.089270	0.0014361	54.448	0.018366	7.7630	8.6537	53.470	33.396	101.63	269.20	13.424	7.7808	0.030622
178.00	3.0740	284.21	0.0035185	4.2211	4.3946	29.458	31.240	106.05	531.94	1.1474	32.411	0.088513	0.0013680	55.740	0.017941	7.7499	8.6347	53.279	33.570	104.95	268.60	13.323	7.8460	0.031127
178.50	3.1258	282.29	0.0035425	4.2640	4.4417	29.706	31.309	108.45	523.38	1.2024	32.033	0.087756	0.0013004	57.075	0.017521	7.7361	8.6147	53.084	33.750	108.56	267.99	13.220	7.9138	0.031661
179.00	3.1783	280.32	0.0035674	4.3076	4.4895	29.957	31.384	111.06	514.71	1.2604	31.653	0.086998	0.0012334	58.458	0.017106	7.7214	8.5936	52.885	33.938	112.50	267.36	13.114	7.9843	0.032230
179.50	3.2314	278.30	0.0035933	4.3517	4.5380	30.210	31.466	113.89	505.92	1.3217	31.272	0.086240	0.0011671	59.890	0.016697	7.7058	8.5714	52.681	34.134	116.79	266.71	13.004	8.0578	0.032836
180.00	3.2852	276.23	0.0036202	4.3965	4.5873	30.467	31.554	116.99	497.01	1.3866	30.888	0.085482	0.0011014	61.375	0.016293	7.6893	8.5480	52.471	34.338	121.51	266.04	12.892	8.1346	0.033484
180.50	3.3396	274.10	0.0036483	4.4420	4.6374	30.728	31.651	120.39	487.97	1.4554	30.502	0.084727	0.0010365	62.918	0.015894	7.6718	8.5234	52.257	34.552	126.70	265.36	12.775	8.2150	0.034179
181.00	3.3948	271.91	0.0036776	4.4882	4.6885	30.992	31.756	124.14	478.78	1.5285	30.112	0.083973	0.00097221	64.523	0.015498	7.6533	8.4973	52.036	34.776	132.46	264.65	12.655	8.2992	0.034929
181.50	3.4506	269.66	0.0037084	4.5352	4.7405	31.261	31.870	128.30	469.44	1.6063	29.718	0.083223	0.00090869	66.195	0.015107	7.6335	8.4698	51.808	35.010	138.86	263.92	12.530	8.3878	0.035739
182.00	3.5071	267.33	0.0037407	4.5832	4.7937	31.535	31.996	132.94	459.94	1.6894	29.320	0.082478	0.00084596	67.940	0.014719	7.6125	8.4406	51.573	35.257	146.04	263.17	12.401	8.4811	0.036620
182.50	3.5644	264.92	0.0037747	4.6321	4.8480	31.814	32.134	138.14	450.26	1.7784	28.916	0.081740	0.00078405	69.765	0.014334	7.5901	8.4097	51.331	35.518	154.12	262.40	12.266	8.5797	0.037582
183.00	3.6224	262.43	0.0038105	4.6821	4.9035	32.099	32.286	144.04	440.39	1.8738	28.507	0.081012	0.00072300	71.679	0.013951	7.5661	8.3769	51.079	35.794	163.30	261.59	12.126	8.6842	0.038637
183.50	3.6811	259.84	0.0038485	4.7333	4.9606	32.390	32.454	150.76	430.31	1.9766	28.090	0.080296	0.00066287	73.690	0.013570	7.5405	8.3419	50.817	36.086	173.82	260.76	11.979	8.7954	0.039804
184.00	3.7405	257.14	0.0038889	4.7858	5.0192	32.689	32.641	158.52	420.00	2.0877	27.665	0.079598	0.00060371	75.810	0.013191	7.5131	8.3046	50.545	36.397	185.97	259.89	11.825	8.9141	0.041100
184.50	3.8007	254.32	0.0039321	4.8398	5.0795	32.996	32.850	167.55	409.43	2.2083	27.231	0.078924	0.00054558	78.053	0.012812	7.4835	8.2647	50.260	36.730	200.18	258.98	11.663	9.0414	0.042554
185.00	3.8617	251.36	0.0039784	4.8955	5.1420	33.313	33.085	178.22	398.59	2.3397	26.784	0.078283	0.00048857	80.435	0.012432	7.4515	8.2217	49.961	37.087	217.01	258.03	11.492	9.1786	0.044197
185.50	3.9235	248.24	0.0040284	4.9531	5.2067	33.641	33.351	191.03	387.42	2.4836	26.325	0.077685	0.00043276	82.976	0.012052	7.4168	8.1754	49.645	37.473	237.25	257.03	11.310	9.3275	0.046074
186.00	3.9860	244.93	0.0040828	5.0131	5.2741	33.982	33.654	206.68	375.88	2.6424	25.848	0.077150	0.00037825	85.704	0.011668	7.3790	8.1252	49.311	37.893	262.03	255.97	11.116	9.4902	0.048246
186.50	4.0494	241.40	0.0041425	5.0757	5.3448	34.339	34.005	226.27	363.93	2.8186	25.352	0.076702	0.00032517	88.653	0.011280	7.3375	8.0703	48.953	38.354	293.07	254.83	10.908	9.6695	0.050794
187.00	4.1137	237.61	0.0042086	5.1415	5.4193	34.715	34.415	251.50	351.48	3.0161	24.830	0.076382	0.00027368	91.867	0.010885	7.2915	8.0099	48.569	38.866	333.07	253.60	10.684	9.8693	0.053842
187.50	4.1788	233.48	0.0042830	5.2114	5.4985	35.115	34.904	285.24	338.41	3.2398	24.277	0.076256	0.00022397	95.411	0.010481	7.2400	7.9426	48.150	39.443	386.54	252.24	10.439	10.095	0.057575
188.00	4.2448	228.93	0.0043681	5.2864	5.5839	35.545	35.503	332.70	324.57	3.4968	23.683	0.076438	0.00017631	99.377	0.010063	7.1814	7.8667	47.688	40.109	461.61	250.72	10.167	10.354	0.062294
188.50	4.3117	223.81	0.0044681	5.3684	5.6775	36.017	36.266	404.38	309.67	3.7979	23.031	0.077144	0.00013107	103.91	0.0096237	7.1135	7.7792	47.167	40.905	574.63	248.94	9.8614	10.660	0.068537
189.00	4.3796	217.87	0.0045899	5.4603	5.7828	36.549	37.302	525.08	293.23	4.1610	22.298	0.078848	8.8793e-05	109.26	0.0091526	7.0322	7.6753	46.562	41.916	763.79	246.75	9.5063	11.034	0.077388
189.50	4.4485	210.62	0.0047480	5.5682	5.9070	37.178	38.864	769.83	274.24	4.6194	21.430	0.082816	5.0380e-05	115.92	0.0086268	6.9296	7.5452	45.823	43.338	1143.1	243.73	9.0739	11.520	0.091517
190.00	4.5186	200.78	0.0049806	5.7074	6.0685	38.000	41.746	1508.2	250.31	5.2488	20.291	0.094152	1.7679e-05	125.18	0.0079887	6.7850	7.3641	44.819	45.796	2259.0	238.55	8.4951	12.237	0.12052
